token,"editor name","default name","name variants",easting,southing,"node uid","search radius","distance offset"
az_quartzsit,"AZ Quartzsite",Quartzsite,,-83608.09,22176.34,2800893089878383316,0,-3
az_sansimon,"AZ San Simon","San Simon",,-62873.85,33100.88,445231522073745260,-1,0
az_seligman,"AZ Seligman",Seligman,,-77540.95,13066.96,447138674248976742,-1,0
az_showlow,"AZ Show Low","Show Low",,-65650.11,21385.88,445681246837871077,-1,0
az_sierravis,"AZ Sierra Vista","Sierra Vista",,-68358.10,36557.20,444966509255791018,-1,0
az_springerv,"AZ Springerville",Springerville,,-61350.35,22785.69,2827612422214064810,-1,0
az_stjohns,"AZ St Johns","St. Johns",,-62140.14,20583.07,3764324842950890156,-1,0
az_teecnospo,"AZ Teec Nos Pos","Teec Nos Pos",,-59532.18,6677.66,4010436178193874946,-1,0
az_tucson77,"AZ Tucson AZ-77",Tucson,,-71679.78,31014.07,444862339533188294,-1,2
az_tucsoni10,"AZ Tucson I-10",Tucson,,-71244.03,31605.75,444862339227005242,-1,-2
az_us160az98,"AZ US-160 x AZ-98",Jct,"Jct US 160",-66317.98,8327.86,447462808692850690,-1,0
az_us160191,"AZ US-160 x US-191",Jct,"Jct US 160; Jct US 191",-60788.79,6607.31,3360344892404924419,-1,0
az_us60az303,"AZ US-60 x AZ-303",Jct,,-77305.61,21703.96,575467021230674459,75,0
az_us89us160,"AZ US-89 x US-160","Jct US-89",Jct,-69659.48,10289.23,3314430282930061315,-1,0
az_ut_i15_sl,"AZ UT I-15 Border","AZ State Line","UT State Line",-79915.82,4598.15,3432124550560022528,-1,0
az_valle,"AZ Valle",Valle,,-73378.16,12241.87,502059711335694336,-1,0
az_wickenbur,"AZ Wickenburg",Wickenburg,,-78924.35,20423.60,2909845465975816287,-1,1
az_yuma,"AZ Yuma",Yuma,,-88848.86,26413.14,445701707383641681,-1,0
bc_grandfork,"BC Grand Forks","Grand Forks BC",,-83196.02,-64822.18,2976210541640744960,-1,42
bc_penticton,"BC Penticton",Penticton,,-87287.81,-66291.31,3078285731677602015,-1,63
bc_vancouver,"BC Vancouver","Vancouver BC",,-98611.11,-71086.92,2880602646589540076,-1,50
ca_alturas,"CA Alturas",Alturas,,-102324.70,-28054.00,2640498185977987072,-1,0
ca_benton,"CA Benton",Benton,Jct,,,5628404799656097363,-1,0
ca_bishop,"CA Bishop",Bishop,,,,5628404817058203272,-1,0
ca_blythe,"CA Blythe",Blythe,,-87116.87,20803.77,458571364645142528,-1,0
ca_burney,"CA Burney",Burney,,-107672.20,-26612.91,3296760736085197518,-1,0
ca_36x44,"CA CA-36 x CA-44","Jct CA-44",,-105478.50,-23048.26,4448830531849103350,-1,0
ca_canby,"CA Canby",Canby,,-104234.80,-28168.23,3296760739205763529,-1,0
ca_corning,"CA Corning",Corning,,-111497.50,-21316.51,4448904991415422939,-1,2
ca_crescity,"CA Crescent City","Crescent City",,-116012.40,-35109.19,2732383273107193856,-1,0
ca_elcentro,"CA El Centro","El Centro",,-92005.63,24698.31,3752637636947410947,-1,0
ca_eureka,"CA Eureka",Eureka,,-118667.90,-27856.18,4840225355464125552,-1,0
ca_fresno,"CA Fresno",Fresno,,-106050.61,275.72,,25,1
ca_gilroy,"CA Gilroy",Gilroy,,-112877.33,-3403.63,,40,0
ca_hatfield,"CA Hatfield",Hatfield,,-105212.40,-31344.54,2839425178940473347,-1,0
ca_hiouchi,"CA Hiouchi",Hiouchi,,-114195.20,-33605.56,2972953001024946176,130,0
ca_hopland,"CA Hopland",Hopland,,-117093.20,-18260.96,4840256638344963137,-1,0
ca_i10us95,"CA I-10 x US-95",Jct,,-87226.73,21016.05,457846050993405986,50,0
ca_i5xi80,"CA I-5 x I-80",Jct,,-111615.55,-15904.23,,60,0
ca_i5xus50,"CA I-5 x US-50","Jct US-50",,-111498.87,-14346.78,,75,0
ca_independe,"CA Independence",Independence,,,,5683228150292807680,-1,0
ca_janesvill,"CA Janesville",Janesville,,-102591.20,-19511.50,4448830535070333148,-1,0
ca_lassenpk,"CA Lassen Park","Lassen Park",,-106505.50,-25102.75,4448830533526822555,-1,0
ca_laytonvil,"CA Laytonville",Laytonville,,-116659.30,-21505.31,4448933458127300221,-1,0
ca_leevining,"CA Lee Vining","Lee Vining",,,,5628404800096497840,-1,0
ca_losangele,"CA Los Angeles","Los Angeles",,-102033.64,16525.60,,100,2
ca_meyers,"CA Meyers",Meyers,,,,5628404819729995322,-1,0
ca_modesto,"CA Modesto",Modesto,,,,5628404816034834701,-1,0
ca_mtshasta,"CA Mt Shasta","Mt Shasta",,-105179.40,-25671.15,4448830531060572761,-1,82
ca_napa,"CA Napa",Napa,,-114034.30,-17489.92,4840278782885962073,-1,12
ca_needles,"CA Needles",Needles,,-85255.83,14828.05,448279354507984900,-1,0
ca_novato,"CA Novato",Novato,,-116738.80,-14390.25,4840256639422904651,-1,2
canv_sl80,"CA NV I-80 Border","State Line",,-105016.70,-18875.55,4840289914061294630,-1,0
ca_nv_sl395n,"CA NV US-395 Border N","State Line",,-101917.40,-18254.68,4448830532910267181,-1,0
ca_nv_sl395s,"CA NV US-395 Border S","Nevada State Line","Topaz Lake",,,5628404816823343853,-1,0
ca_oakland,"CA Oakland",Oakland,,,,,200,1
ca_oldstatio,"CA Old Station","Old Station",,-105380.70,-25638.25,4448830531689718228,-1,0
ca_or_sl_101,"CA OR US-101 Border","CA State Line","OR State Line",-114824.20,-36478.77,4448947631682945407,-1,0
ca_or_sl_199,"CA OR US-199 Border","CA State Line","OR State Line",-113365.70,-35258.52,4448954451382173979,-1,0
ca_or_sl_395,"CA OR US-395 Border","CA State Line","OR State Line",-100892.90,-29823.82,4448989325971359009,-1,0
ca_or_sl_97,"CA OR US-97 Border","CA State Line","OR State Line",-107251.90,-31876.11,4448967028766082710,-1,0
ca_petaluma,"CA Petaluma",Petaluma,,-116641.10,-15925.31,4840256639984939187,-1,2
ca_placervil,"CA Placerville",Placerville,,,,5628404816273894234,-1,0
ca_redding,"CA Redding",Redding,,-111812.50,-25883.98,4841676796667586917,-1,0
ca_sacrament,"CA Sacramento",Sacramento,,-111400.41,-14854.66,,10,2
ca_salinas,"CA Salinas",Salinas,,-113318.72,-684.40,,40,0
ca_san_diego,"CA San Diego","San Diego",,-99340.50,24826.79,506163222192390145,-1,2
ca_sanfran,"CA San Francisco","San Francisco",,-114811.10,-9232.54,437484009875237188,-1,0
ca_sanjose1,"CA San Jose 1","San Jose",,-113976.48,-6199.90,,40,0
ca_sanrafael,"CA San Rafael","San Rafael",,-116484.74,-13738.18,,20,2
ca_santacruz,"CA Santa Cruz","Santa Cruz",,,,5628404835177622606,-1,0
ca_sonoma,"CA Sonoma",Sonoma,,-114019.40,-17532.45,4840278781342458208,-1,4
ca_sthlktaho,"CA South Lake Tahoe","Lake Tahoe","South Lake Tahoe",,,5628404817108557453,-1,0
ca_stockton,"CA Stockton",Stockton,,-109454.58,-10367.37,,50,0
ca_susanvill,"CA Susanville",Susanville,,-103857.90,-22200.96,4448830535040970282,-1,0
ca_tiogapass,"CA Tioga Pass Yosemite","Tioga Pass",Yosemite,-103219.49,-6606.04,,15,0
ca_truckee,"CA Truckee",Truckee,,-106395.10,-16320.08,4840289915189558308,-1,0
ca_ukiah,"CA Ukiah",Ukiah,,-117154.40,-19308.45,4840239750936201556,-1,0
ca_u101xc299,"CA US-101 x CA-299","Jct US-101","Jct CA-299",-117737.71,-28463.02,,50,0
caus199us101,"CA US-101 x US-199","Jct US-101",,-115461.90,-35365.61,2640509043474825476,-1,0
ca_395x120n,"CA US-395 x CA-120 Nth",Jct,,,,5628404799614152082,-1,0
ca_395x120s,"CA US-395 x CA-120 Sth","South Jct",Jct,-100637.25,-6286.99,,10,0
caus395xca36,"CA US-395 x CA-36","Jct CA-36",,-103482.10,-21578.95,4448830533992394880,-1,0
ca_395x89,"CA US-395 x CA-89",Jct,,,,5628404799035337998,-1,0
ca_us6x395,"CA US-6 x US-395",Jct,,,,5628404817326638727,-1,0
ca_vallejo,"CA Vallejo",Vallejo,,-113496.10,-13429.96,4901388539033748693,-1,2
ca_vidaljct,"CA Vidal Junction","Vidal Junction",,-85925.81,18346.66,449777572543660032,-1,0
ca_weavervil,"CA Weaverville",Weaverville,,-114531.40,-27204.32,4448919265495946423,-1,0
ca_weed,"CA Weed",Weed,,-110276.20,-29118.67,2641886457409110016,-1,0
ca_willowck,"CA Willow Creek","Willow Creek",,-115841.60,-28445.05,4448919265491755269,-1,0
co_alamosa,"CO Alamosa",Alamosa,,-44285.87,6180.31,4108388062333438700,-1,0
co_bristol,"CO Bristol",Bristol,,-27994.93,2844.37,3828023554786328576,-1,0
co_burlingto,"CO Burlington",Burlington,,-27153.68,-3068.48,3675474442756393273,-1,0
co_cheyennew,"CO Cheyenne Wells","Cheyenne Wells",,-27965.28,496.78,3675474442336957756,-1,0
co_colospgs,"CO Colorado Springs","Colo Spgs",,-38868.36,-1412.28,4053584536882054092,50,2
co_cortez,"CO Cortez",Cortez,,-55709.50,5274.78,3682416449425965056,-1,0
co_craig,"CO Craig",Craig,,-49045.28,-11527.93,3792572983346135042,-1,0
co_denver,"CO Denver",Denver,"Denver Co",-39168.11,-5259.69,3675474427120049563,-1,-5
co_dinosaur,"CO Dinosaur",Dinosaur,,-55218.46,-11104.26,3721154529145651200,-1,0
co_divide,"CO Divide",Divide,,-40746.63,-2571.91,4043091928493200044,-1,0
co_durango,"CO Durango",Durango,,-53089.18,5728.69,3795501222233571328,-1,0
co_eads,"CO Eads",Eads,,-30904.88,1603.52,3681738843390023157,-1,0
co_eaglevail,"CO Eagle - Vail","Eagle - Vail",,-45514.22,-5798.72,3675474426172136340,-1,4
co_estespk,"CO Estes Park","Estes Park",,-40799.60,-9846.75,3917156926920589312,-1,0
co_fairplay,"Co Fairplay",Fairplay,,-43239.79,-3874.53,3973298349592744935,-1,1
co_ftcollins,"CO Ft Collins","Ft Collins",,-39177.97,-11309.61,4159180515712509078,-1,0
co_glenwood,"CO Glenwood Spgs","Glenwood Spgs",,-49833.56,-5773.06,4164016495964585987,-1,0
co_granada,"CO Granada",Granada,,-27987.52,4224.88,3675474445121972530,-1,0
co_granby,"CO Granby",Granby,,-43956.32,-8316.71,,25,0
co_grandjct,"CO Grand Jct","Grand Junction","Grand Jct",-53306.49,-3225.69,3675474445969201973,-1,0
co_grandlake,"CO Grand Lake","Grand Lake",,-42910.75,-8855.76,3979410071188668416,-1,0
co_i25xi70,"CO I-25 x I-70",Jct,"Jct I-25",-38844.31,-6188.80,,25,0
co_i25xi76,"CO I-25 x I-76","Jct I-25","Jct I-76",-38769.86,-7107.43,,50,0
co_i25xus34,"CO I-25 x US-34","Jct I-25",,-38372.27,-9721.83,,50,0
co_i70xi24,"CO I-70 x I-24","Jct I-70",,-45262.54,-5564.02,3675474425492659121,20,0
co_i70xi76,"CO I-70 x I-76","Jct I-70","Jct I-76",-39921.09,-6448.07,,25,0
co_i70xus40,"CO I-70 x US-40","Jct US-40","Jct I-70",-41721.02,-5607.35,,25,0
co_johnsonvi,"CO Johnson Village","Johnson Village",,-43891.04,-1214.34,3746156891036582067,-1,0
co_julesburg,"CO Julesburg",Julesburg,,-26596.30,-12174.50,3675474445994400547,-1,0
co_kitcarson,"CO Kit Carson","Kit Carson",,-31070.96,-163.88,3681738841615830892,-1,0
coks_slus50,"CO KS US-50 US-400 Border","State Line",,-27108.78,4145.37,5626872684245812517,-1,0
co_lajunta,"CO La Junta","La Junta",,-33563.37,4274.35,3675474443695898035,-1,0
co_lamar,"CO Lamar",Lamar,"Lamar Co",-29202.93,4247.83,3675474443133868392,-1,0
co_lasanimas,"CO Las Animas","Las Animas",,-32031.20,3900.90,3675474444165659931,-1,0
co_limon,"CO Limon",Limon,,-33504.63,-2477.06,3890815374841619701,-1,0
co_loma,"CO Loma",Loma,,-55975.01,-5624.88,4619234649130336259,-1,0
co_loveland,"CO Loveland",Loveland,,-39458.97,-9898.05,4159180515548931895,-1,1
co_maybell,"CO Maybell",Maybell,,-51818.49,-11943.39,3847345444121673728,-1,0
co_monarchpa,"CO Monarch Pass","Monarch Pass",,-46284.77,936.92,3784676892085256195,-1,0
co_montevist,"CO Monte Vista","Monte Vista",,-46198.55,5373.01,3740742707281002698,-1,0
co_montrose,"CO Montrose",Montrose,,-52151.23,-312.45,3675474444966757599,450,0
cooksl287,"CO OK US-287 US-385 Border","State Line",,-29167.42,10121.48,5292077149011962785,-1,0
co_ouray,"CO Ouray",Ouray,,-51927.99,1763.05,3885743310883913728,-1,0
co_pagosaspg,"CO Pagosa Springs","Pagosa Spgs",,-49728.13,6971.12,3723973762259817029,-1,0
co_parkdale,"CO Parkdale",Parkdale,,-41257.60,1050.68,3844228932721115139,-1,0
co_ponchaspg,"CO Poncha Springs","Poncha Spgs","Poncha Springs",-44504.27,201.55,3740377101721534464,-1,0
co_pueblo,"CO Pueblo",Pueblo,,-38659.91,2074.80,3918643123945406464,20,0
co_rangely,"CO Rangely",Rangely,,-54576.68,-10218.94,3762845554721161216,-1,0
co_redcliff,"CO Red Cliff","Red Cliff",,-46005.02,-3108.13,3912343297739128834,-1,5
co_saguache,"CO Saguache",Saguache,,-44995.33,2993.94,3725563622158368775,-1,0
co_sapinero,"CO Sapinero",Sapinero,,-49497.00,394.60,3788084364154175491,-1,0
co_sheridanl,"CO Sheridan Lake","Sheridan Lake",,-27426.96,2025.68,3823491179008098304,-1,0
co_springfie,"CO Springfield",Springfield,,-37114.40,7054.66,4093711403252645890,-1,100
co_steamboat,"CO Steamboat Spgs","Steamboat Spgs",,-46221.81,-11154.48,3675474443368774534,-1,0
co_sterling,"CO Sterling",Sterling,,-32041.19,-10223.12,4053834228989825221,-1,0
co_trinidad,"CO Trinidad",Trinidad,,-37948.07,7366.75,3980644375776922959,-1,0
co_us50xus28,"CO US-50 x US-287","Jct US-50",,-30821.18,3490.47,3675474444840954980,-1,0
co_ut_sl_i70,"CO UT I-70 Border","State Line",,-57301.79,-5067.68,4020748241121312978,-1,2
co_walsenbur,"CO Walsenburg",Walsenburg,,-39196.68,5792.81,4044715636048202980,-1,0
co_wiggins,"CO Wiggins",Wiggins,,-35003.85,-8156.26,3753659975328793556,-1,2
co_winterpk,"CO Winter Park","Winter Park",,-42925.81,-7749.67,3742031680145588226,-1,1
co_wray,"CO Wray",Wray,,-26882.54,-7085.21,3675474441779123255,-1,0
cowysl789,"CO WY CO-13 WY-789 Border","State Line","CO State Line",-49008.51,-13894.14,4205244539886201433,-1,0
cowysli25,"CO WY I-25 State Line","State Line",,-37747.51,-12821.23,,20,0
id_arco,"ID Arco",Arco,,-70346.63,-34087.61,3675691547129001831,-1,0
id_bellevue,"ID Bellevue",Bellevue,,-74041.91,-33701.19,3874510203295045325,-1,0
id_boise,"ID Boise",Boise,,-80124.83,-35750.41,3875733944671535104,-1,0
id_bonnersfe,"ID Bonners Ferry","Bonners Ferry",,-75933.35,-63951.50,4818090227951276906,-1,0
id_bruneau,"ID Bruneau",Bruneau,,-82366.15,-28252.71,3675691545275090683,-1,0
id_cambridge,"ID Cambridge",Cambridge,,-81784.83,-41142.58,3844827823391329741,-1,0
id_carey,"ID Carey",Carey,,-72558.84,-31761.10,3675691547170939960,-1,0
id_challis,"ID Challis",Challis,,-72673.91,-38815.10,3675691546805993594,-1,0
id_coeurdale,"ID Coeur d'Alene","Coeur d'Alene",,-77909.66,-57625.14,3734970477954285662,-1,0
id_craters,"ID Craters of the Moon","Craters of the Moon",,-71444.73,-32529.30,,25,1
id_fruitland,"ID Fruitland",Fruitland,,-83179.74,-37860.65,3844827820983796056,-1,0
id_grangevil,"ID Grangeville",Grangeville,,-77720.67,-48014.67,3675691528963484193,-1,0
id_horseshoe,"ID Horseshoe Bend","Horseshoe Bend",,-80767.59,-37647.69,3814394785190123154,-1,0
id_i15id33,"ID I-15 x ID-33","Jct ID-33",,-64738.91,-35641.08,4818066931155272077,-1,-1
id_i84xi86,"ID I-84 x I-86","Jct I-84","Jct I-86",-72124.41,-28601.30,,50,0
id_idahofall,"ID Idaho Falls","Idaho Falls",,-64586.61,-32316.05,3675691544876667222,-1,0
id_idahof26,"ID Idaho Falls US-26W","Idaho Falls",,-64016.77,-32630.57,3675691547867205601,-1,1
id_islandpk,"ID Island Park","Island Park",,-61690.63,-37005.59,5137038567756137335,-1,0
id_kamiah,"ID Kamiah",Kamiah,,-76989.20,-50088.49,3814712438344384514,-1,0
id_kooskia,"ID Kooskia",Kooskia,,-75956.97,-48933.89,3816047608741756928,-1,0
id_lavasprs,"ID Lava Hot Springs","Lava Hot Sprs.",,-64482.29,-25321.21,4205244537075999125,-1,0
id_lewiston,"ID Lewiston",Lewiston,,-81121.70,-51638.65,3675691530116914312,-1,0
id_mackay,"ID Mackay",Mackay,,-70806.88,-34905.97,3853680868090907466,-1,0
id_mccall,"ID McCall",McCall,,-79260.31,-42459.58,3814394783264940605,-1,0
id_mccammon,"ID McCammon",McCammon,,-65331.98,-25806.14,4348789027991912450,-1,0
or_montpel,"ID Montpelier",Montpelier,,-62811.13,-24143.41,4205244536270693067,-1,0
id_mountainh,"ID Mountain Home","Mountain Home","Mtn Home",-79769.73,-31931.56,3675691547598731794,-1,0
id_moyiespr,"ID Moyie Springs","Moyie Springs",,-74197.69,-64388.62,4818090226206448155,-1,0
idmtus93sl,"ID MT US-93 Border","State Line",,-70548.75,-45264.23,4818120171439893013,-1,0
id_nampa,"ID Nampa",Nampa,,-83257.63,-35219.90,3802545862922084934,-1,0
id_newmeadow,"ID New Meadows","New Meadows",,-80202.84,-42959.27,3844827821533256073,-1,0
or_ovid,"ID Ovid",Ovid,,-64137.53,-24061.05,4450240381709320899,-1,0
or_payette,"ID Payette",Payette,,-83024.66,-38560.09,3844827823018032266,-1,1
id_pocatello,"ID Pocatello",Pocatello,,-67564.84,-28190.49,3675691562085845143,-1,0
id_salmon,"ID Salmon",Salmon,,-70656.44,-42196.42,3675691547636468085,-1,0
id_sandpoint,"ID Sandpoint",Sandpoint,,-77026.11,-62114.86,3675691530402100115,-1,0
id_shoshoni,"ID Shoshone",Shoshone,,-74509.23,-32034.21,3746282204453994817,-1,0
id_stanley,"ID Stanley",Stanley,,-76017.36,-37734.68,3879913994727588151,-1,0
id_sunvalley,"ID Sun Valley Ketchum","Sun Valley",,-73998.92,-34769.42,3874510204670779797,-1,0
id_twinfalls,"ID Twin Falls","Twin Falls",,-75649.83,-28326.35,3675691544310412590,-1,0
id_us2us95,"ID US-2 x US-95 (Bonners Fry)","Jct US 95","Junction US 2",-75295.98,-64561.95,4818090226638460724,-1,0
id_us95can,"ID US-95 Canada",Canada,,-75302.55,-64584.07,4818090228114855731,-1,28
id_wy_sl_26,"ID WY US-26 Border","State Line",,-61630.50,-30044.89,4347916701369761792,-1,0
ks_ashland,"KS Ashland",Ashland,"Ashland KS",-16517.48,9609.81,5549585313616363591,-1,7
ks_bellevill,"KS Belleville",Belleville,,-6456.23,-4678.46,5361618767687450627,-1,0
ks_colby,"KS Colby",Colby,,-22734.71,-3014.57,5346625532556673028,-1,2
ks_cunningha,"KS Cunningham",Cunningham,,-11053.32,7376.07,5581200739429780865,-1,0
ks_dodgecity,"KS Dodge City","Dodge City",,-17628.51,6199.72,5417814994023940099,-1,0
ks_eldorado,"KS El Dorado","El Dorado",,-3735.98,6887.81,,30,0
ks_emporia,"KS Emporia",Emporia,,-231.75,3936.19,5299011542219489282,-1,1
ks_emporia35,"KS Emporia I-35",Emporia,,-1538.97,3300.56,,25,3
ks_fairview,"KS Fairview",Fairview,,1419.71,-4718.83,5439842438213795842,-1,1
ks_ftscott,"KS Fort Scott","Ft Scott",,5460.20,7030.35,,25,1
ks_galena,"KS Galena",Galena,,5664.46,11226.64,5778102203333738496,-1,0
ks_gardencit,"KS Garden City","Garden City","Garden City KS",-21220.87,5262.07,5395848795492843520,-1,0
ks_greensbur,"KS Greensburg",Greensburg,,-14277.22,7411.79,5581200740545466769,-1,0
ks_hays,"KS Hays",Hays,,-14642.40,874.62,5309285054262214659,-1,0
ks_hutchinso,"KS Hutchinson",Hutchinson,,-9814.40,4570.32,5303373840919560196,-1,0
ks_i135xi70,"KS I-135 x I-70","Jct I-135",I-70,-7889.70,-74.77,,80,0
ks_i35xus75,"KS I-35 x US-75",US-75,"Jct I-35",1547.07,3476.03,,60,0
ks_i470xi70,"KS I-470 x I-70 K-4","I-70 - K4",,1978.20,220.46,5477675687565740251,-1,0
ks_i70i470,"KS I-70 x I-470",I-470,,2497.11,-274.23,,50,0
ks_i70470w,"KS I-70 x I-470 US-75 West","I-470  US-75",,-114.62,-1071.32,,30,0
ks_i70i635,"KS I-70 x I-635",I-635,,5229.98,-645.95,,100,0
ks_i70xks156,"KS I-70 x KS-156",K-156,,-10234.59,493.67,,60,0
ks_i70us75e,"KS I-70 x US-75 East","US-75 North",,580.53,-1147.78,,30,-3
ks_jctcity,"KS Junction City","Junction City",,-4310.83,-576.39,5585356636650475779,-1,0
ks_kanorado,"KS Kanorado",Kanorado,,-24828.23,-3256.02,5755937835749670912,-1,0
ks_kinsley,"KS Kinsley",Kinsley,,-15147.58,5635.42,5444195922497765594,-1,0
ks_liberal,"KS Liberal",Liberal,"Liberal KS",-21990.05,10125.89,5345187340314935298,-1,0
ks_marysvill,"KS Marysville",Marysville,,-2727.20,-4786.08,5383839534885896195,-1,0
ks_mcphers,"KS McPherson",McPherson,,-7111.92,3372.52,,30,0
ks_mullinvil,"KS Mullinville",Mullinville,,-15436.18,7636.33,5674097859060107082,-1,0
ks_newton,"KS Newton",Newton,,-6065.64,4745.38,,30,0
ks_oakley,"KS Oakley",Oakley,,-21252.33,-1362.85,5581028767487688706,-1,0
ks_oberlin,"KS Oberlin",Oberlin,,-19689.17,-5325.02,5282501722605551619,-1,0
ksok_sli35,"KS OK I-35 Border","State Line",,-6126.82,11311.21,,12,0
ksoksl183,"KS OK US-183 State Line","State Line",,-16408.52,10445.53,5550046008585748480,-1,0
ksok_sl83,"KS OK US-83 Border","State Line",,-21583.66,10808.02,5506507820119097874,-1,0
ks_overlandp,"KS Overland Park","Overland Park",,6021.70,964.93,,20,0
ks_phillipsb,"KS Phillipsburg",Phillipsburg,,-14654.81,-4653.00,5371854105201606658,-1,0
ks_pittsburg,"KS Pittsburg",Pittsburg,,5590.12,8217.17,,35,0
ks_protectio,"KS Protection",Protection,,-15621.22,9588.91,5551092795048198146,-1,1
ks_salina,"KS Salina",Salina,,-6828.84,818.51,,30,0
ks_smithctr,"KS Smith Center","Smith Center",,-12204.46,-4716.81,5343353437751083010,-1,0
ks_topeka,"KS Topeka",Topeka,,987.40,-245.17,,1000,2
ks_us160us18,"KS US-160 x US-183",US-160,,-14900.70,8999.31,5551151861510438924,-1,0
